ticker,company,sector
AAPL,Apple Inc.,Information Technology
MSFT,Microsoft Corp.,Information Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
VOO,Vanguard S&P 500 ETF,Multi-Sector
